timestamp	ICAO_address	lat	lon	altitude	heading	hor_velocity	ver_velocity	valid_flags	alt_type	callsign	emitter_type	tslc
1134227465	A98046	637433600	-1490262784	5791200	19802	13787	32	01BF	0	CFS7663	2	1
1134227466	AE63B4	629817792	-1478922368	7010399	21306	23561	0	01BF	0	SHAMN11	5	1
1134227466	A98046	637403968	-1490284416	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683203	AE63B4	629817792	-1478922368	7010399	21306	23561	0	01BF	0	SHAMN11	5	2
1750683203	A98046	637391488	-1490294400	5791200	19829	13735	32	01BF	0	CFS7663	2	1
1750683204	AE63B4	629783360	-1478971136	7010399	21306	23561	0	01BF	0	SHAMN11	5	1
1750683204	A98046	637378816	-1490302976	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683205	AE63B4	629783360	-1478971136	7010399	21306	23561	0	01BF	0	SHAMN11	5	2
1750683205	A98046	637365440	-1490313472	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683206	AE63B4	629783360	-1478971136	7010399	21306	23561	0	01BF	0	SHAMN11	5	1
1750683206	A98046	637354880	-1490320768	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683207	AE63B4	629783360	-1478971136	7010399	21306	23561	0	01BF	0	SHAMN11	5	2
1750683207	A98046	637343872	-1490329472	5791200	19829	13735	32	01BF	0	CFS7663	2	1
1750683208	AE63B4	629711616	-1479073536	7010399	21299	23612	65504	01BF	0	SHAMN11	5	1
1750683208	A98046	637330624	-1490338688	5791200	19829	13735	32	01BF	0	CFS7663	2	1
1750683209	AE63B4	629711616	-1479073536	7010399	21289	23561	65504	01BF	0	SHAMN11	5	1
1750683209	A98046	637325120	-1490343040	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683210	AE63B4	629676800	-1479122944	7010399	21289	23561	65504	01BF	0	SHAMN11	5	1
1750683210	A98046	637307584	-1490355840	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683211	AE63B4	629658112	-1479149568	7010399	21289	23561	65504	01BF	0	SHAMN11	5	0
1750683211	A98046	637295360	-1490365184	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683212	AE63B4	629641408	-1479173888	7010399	21289	23561	65504	01BF	0	SHAMN11	5	1
1750683212	A98046	637295360	-1490365184	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683213	AE63B4	629622720	-1479200256	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683213	A98046	637272064	-1490383104	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683214	AE63B4	629605056	-1479225600	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683214	A98046	637265152	-1490387456	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683215	AE63B4	629605056	-1479225600	7010399	21289	23561	0	01BF	0	SHAMN11	5	2
1750683215	A98046	637252352	-1490397952	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683216	AE63B4	629569664	-1479275392	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683216	A98046	637241024	-1490406400	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683217	AE63B4	629551872	-1479300864	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683217	A98046	637231296	-1490413824	5791200	19829	13735	32	01BF	0	CFS7663	2	1
1750683218	AE63B4	629535232	-1479324928	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683218	A98046	637212608	-1490427264	5791200	19850	13735	0	01BF	0	CFS7663	2	1
1750683219	AE63B4	629517056	-1479349632	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683219	A98046	637202432	-1490434816	5791200	19850	13735	0	01BF	0	CFS7663	2	1
1750683220	AE63B4	629498432	-1479376640	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683220	A98046	637191936	-1490442368	5791200	19843	13787	65504	01BF	0	CFS7663	2	1
1750683221	AE63B4	629481792	-1479400576	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683221	A98046	637179136	-1490452864	5791200	19843	13787	65504	01BF	0	CFS7663	2	1
1750683222	AE63B4	629463104	-1479426432	7010399	21289	23561	0	01BF	0	SHAMN11	5	0
1750683222	A98046	637167040	-1490461312	5791200	19843	13787	65504	01BF	0	CFS7663	2	1
1750683223	AE63B4	629445632	-1479452544	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683223	A98046	637154368	-1490470784	5791200	19823	13787	65471	01BF	0	CFS7663	2	1
1750683224	AE63B4	629445632	-1479452544	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683224	A98046	637144640	-1490477696	5791200	19823	13787	65504	01BF	0	CFS7663	2	1
1750683225	AE63B4	629410880	-1479501312	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683225	A98046	637131584	-1490487680	5791200	19823	13787	65504	01BF	0	CFS7663	2	1
