bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
2024-05-24 17:38:59,368273790,,,POINT SOPHIA,,58.13473833,-135.45266000,,0.0,,,,,,
2024-05-24 17:39:14,368273790,,,POINT SOPHIA,,58.13474500,-135.45267667,,0.0,,,,,,
2024-05-24 17:39:31,368273790,,,POINT SOPHIA,,58.13474500,-135.45267667,,0.1,,,,,,
2024-05-24 17:39:44,368273790,,,POINT SOPHIA,,58.13473000,-135.45266500,,0.0,,,,,,
2024-05-24 17:40:00,368273790,,,POINT SOPHIA,,58.13472167,-135.45267833,,0.0,,,,,,
2024-05-24 17:40:14,368273790,,,POINT SOPHIA,,58.13471833,-135.45268500,,0.0,,,,,,
2024-05-24 01:59:27,338431455,,,BING BANG,,58.10669000,-135.44611833,11.5,0.0,,,Pleasure craft,,20,4
2024-05-24 05:23:24,338431455,,,BING BANG,,58.10672333,-135.44614833,1.0,0.0,,,Pleasure craft,,20,4
2024-05-24 05:26:24,338431455,,,BING BANG,,58.10671333,-135.44613167,1.0,0.0,,,Pleasure craft,,20,4
2024-05-24 07:41:32,338431455,,,BING BANG,,58.10667833,-135.44618833,1.0,0.0,,,Pleasure craft,,20,4
2024-05-24 08:32:32,338431455,,,BING BANG,,58.10670667,-135.44614667,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 14:08:30,338431455,,,BING BANG,,58.10666000,-135.44611667,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 14:26:29,338431455,,,BING BANG,,58.10669833,-135.44618000,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 14:53:28,338431455,,,BING BANG,,58.10669000,-135.44618833,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 15:02:31,338431455,,,BING BANG,,58.10669667,-135.44617167,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 15:35:30,338431455,,,BING BANG,,58.10666000,-135.44612167,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 15:50:30,338431455,,,BING BANG,,58.10670833,-135.44611667,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 16:08:29,338431455,,,BING BANG,,58.10670333,-135.44614667,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 16:26:30,338431455,,,BING BANG,,58.10671000,-135.44614833,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 16:44:30,338431455,,,BING BANG,,58.10669333,-135.44621333,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 17:02:30,338431455,,,BING BANG,,58.10668833,-135.44618833,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 17:08:24,338431455,,,BING BANG,,58.10671833,-135.44612833,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 17:20:31,338431455,,,BING BANG,,58.10673333,-135.44616667,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 17:35:24,338431455,,,BING BANG,,58.10667000,-135.44618333,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 17:38:30,338431455,,,BING BANG,,58.10668667,-135.44616833,150.8,0.1,,,Pleasure craft,,20,4
2024-05-24 17:56:31,338431455,,,BING BANG,,58.10667667,-135.44614500,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 18:50:30,338431455,,,BING BANG,,58.10673833,-135.44614833,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 19:02:24,338431455,,,BING BANG,,58.10671167,-135.44618333,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 19:23:23,338431455,,,BING BANG,,58.10665500,-135.44618833,150.8,0.1,,,Pleasure craft,,20,4
2024-05-24 19:32:31,338431455,,,BING BANG,,58.10670833,-135.44614000,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 19:50:30,338431455,,,BING BANG,,58.10672167,-135.44610333,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 20:08:31,338431455,,,BING BANG,,58.10668500,-135.44615000,150.8,0.0,,,Pleasure craft,,20,4
2024-05-24 20:26:30,338431455,,,BING BANG,,58.10664167,-135.44626667,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 20:44:31,338431455,,,BING BANG,,58.10669000,-135.44617333,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 21:02:25,338431455,,,BING BANG,,58.10670667,-135.44617333,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 21:17:24,338431455,,,BING BANG,,58.10670500,-135.44615667,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 21:20:23,338431455,,,BING BANG,,58.10669167,-135.44615667,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 21:26:30,338431455,,,BING BANG,,58.10666000,-135.44615500,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 21:35:24,338431455,,,BING BANG,,58.10666000,-135.44611833,175.2,0.1,,,Pleasure craft,,20,4
2024-05-24 21:35:29,338431455,,,BING BANG,,58.10666000,-135.44611833,175.2,0.1,,,Pleasure craft,,20,4
2024-05-24 21:44:30,338431455,,,BING BANG,,58.10669667,-135.44619333,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 21:50:24,338431455,,,BING BANG,,58.10669167,-135.44616500,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 22:02:30,338431455,,,BING BANG,,58.10669000,-135.44615667,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 22:08:23,338431455,,,BING BANG,,58.10670667,-135.44616667,175.2,0.1,,,Pleasure craft,,20,4
2024-05-24 22:20:30,338431455,,,BING BANG,,58.10667500,-135.44619000,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 22:26:24,338431455,,,BING BANG,,58.10668000,-135.44614833,175.2,0.1,,,Pleasure craft,,20,4
2024-05-24 22:35:29,338431455,,,BING BANG,,58.10665000,-135.44619667,175.2,0.1,,,Pleasure craft,,20,4
2024-05-24 22:38:30,338431455,,,BING BANG,,58.10668000,-135.44611333,175.2,0.1,,,Pleasure craft,,20,4
2024-05-24 22:44:23,338431455,,,BING BANG,,58.10667500,-135.44614500,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 22:56:31,338431455,,,BING BANG,,58.10668500,-135.44614500,175.2,0.0,,,Pleasure craft,,20,4
2024-05-24 23:02:24,338431455,,,BING BANG,,58.10671000,-135.44610000,265.9,0.0,,,Pleasure craft,,20,4
2024-05-24 23:14:30,338431455,,,BING BANG,,58.10670000,-135.44620000,265.9,0.1,,,Pleasure craft,,20,4
2024-05-24 23:20:24,338431455,,,BING BANG,,58.10673833,-135.44612167,265.9,0.0,,,Pleasure craft,,20,4
2024-05-24 23:32:30,338431455,,,BING BANG,,58.10673167,-135.44617667,265.9,0.0,,,Pleasure craft,,20,4
2024-05-24 23:44:24,338431455,,,BING BANG,,58.10672667,-135.44614167,265.9,0.1,,,Pleasure craft,,20,4
2024-05-24 23:50:30,338431455,,,BING BANG,,58.10669667,-135.44619833,265.9,0.1,,,Pleasure craft,,20,4
2024-05-24 04:20:19,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.40166500,-135.04449667,170.3,21.5,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 04:24:48,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.37544000,-135.03507500,168.3,21.5,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 04:29:49,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.34601500,-135.02282833,167.9,21.8,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 04:34:49,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.31664333,-135.01067833,167.6,21.6,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 04:39:54,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.28713000,-134.99824333,166.8,21.3,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 04:44:54,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.25864333,-134.98488167,165.6,21.0,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 04:49:54,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.23061167,-134.97134500,165.9,20.9,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 04:54:55,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.20225167,-134.95751000,164.5,21.3,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 05:00:01,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.17303000,-134.94274333,165.5,21.4,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 05:05:01,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.14424667,-134.92854500,165.6,21.4,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 05:10:01,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.11532833,-134.91470333,166.4,21.6,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 05:15:01,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.08626000,-134.90176833,167.0,21.6,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 05:19:25,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.06077333,-134.89074833,166.4,21.1,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 05:23:13,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.03949000,-134.88126000,168.4,20.7,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 05:24:19,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.03331500,-134.87918833,170.5,20.5,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 05:29:25,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,58.00439167,-134.87114000,171.8,20.7,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 05:34:25,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,57.97611333,-134.86397167,172.6,20.7,"VICTORIA, CA",2024-05-26 00:45:00,Passenger ship,8.5,330,38
2024-05-24 16:08:54,368087710,,,OCEAN ROGUE,,58.16428000,-136.58630667,192.9,13.4,,,,,,
2024-05-24 16:09:24,368087710,,,OCEAN ROGUE,,58.16223333,-136.58697333,190.3,14.9,,,,,,
2024-05-24 16:10:24,368087710,,,OCEAN ROGUE,,58.15839333,-136.58749333,177.7,14.9,,,,,,
2024-05-24 16:10:55,368087710,,,OCEAN ROGUE,,58.15614667,-136.58769333,182.6,13.3,,,,,,
2024-05-24 16:11:24,368087710,,,OCEAN ROGUE,,58.15439333,-136.58782667,180.4,12.0,,,,,,
2024-05-24 16:11:58,368087710,,,OCEAN ROGUE,,58.15232000,-136.58766667,181.1,14.4,,,,,,
2024-05-24 16:12:25,368087710,,,OCEAN ROGUE,,58.15066000,-136.58768000,174.1,12.8,,,,,,
2024-05-24 16:12:53,368087710,,,OCEAN ROGUE,,58.14883333,-136.58722667,172.7,13.7,,,,,,
2024-05-24 16:13:23,368087710,,,OCEAN ROGUE,,58.14686000,-136.58716000,178.5,14.3,,,,,,
2024-05-24 16:13:54,368087710,,,OCEAN ROGUE,,58.14494000,-136.58729333,182.8,13.6,,,,,,
2024-05-24 16:14:24,368087710,,,OCEAN ROGUE,,58.14302000,-136.58745333,182.7,15.4,,,,,,
2024-05-24 16:14:53,368087710,,,OCEAN ROGUE,,58.14112667,-136.58749333,184.7,11.2,,,,,,
2024-05-24 16:15:26,368087710,,,OCEAN ROGUE,,58.13915333,-136.58782667,182.9,13.4,,,,,,
2024-05-24 16:15:54,368087710,,,OCEAN ROGUE,,58.13746667,-136.58762667,176.9,12.7,,,,,,
2024-05-24 16:16:23,368087710,,,OCEAN ROGUE,,58.13551333,-136.58768000,176.7,14.6,,,,,,
2024-05-24 16:16:54,368087710,,,OCEAN ROGUE,,58.13340000,-136.58741333,183.0,15.3,,,,,,
2024-05-24 16:17:54,368087710,,,OCEAN ROGUE,,58.12936000,-136.58754667,186.9,13.8,,,,,,
2024-05-24 16:18:25,368087710,,,OCEAN ROGUE,,58.12740000,-136.58777333,192.4,14.8,,,,,,
2024-05-24 16:18:54,368087710,,,OCEAN ROGUE,,58.12539333,-136.58766667,165.8,12.4,,,,,,
2024-05-24 16:19:24,368087710,,,OCEAN ROGUE,,58.12338000,-136.58736000,173.9,14.8,,,,,,
2024-05-24 16:19:53,368087710,,,OCEAN ROGUE,,58.12125333,-136.58753333,185.9,15.1,,,,,,
2024-05-24 16:20:54,368087710,,,OCEAN ROGUE,,58.11692000,-136.58793333,185.9,14.5,,,,,,
2024-05-24 16:21:24,368087710,,,OCEAN ROGUE,,58.11496667,-136.58832000,187.6,13.6,,,,,,
2024-05-24 16:21:55,368087710,,,OCEAN ROGUE,,58.11272667,-136.58865333,182.3,12.4,,,,,,
2024-05-24 16:22:23,368087710,,,OCEAN ROGUE,,58.11174000,-136.58880000,190.0,8.0,,,,,,
2024-05-24 16:22:54,368087710,WDK7774,,OCEAN ROGUE,,58.11031333,-136.58921333,181.3,9.8,,,Pleasure craft,,9,3
2024-05-24 16:23:24,368087710,WDK7774,,OCEAN ROGUE,,58.10861333,-136.58918667,178.8,12.3,,,Pleasure craft,,9,3
2024-05-24 16:23:54,368087710,WDK7774,,OCEAN ROGUE,,58.10666667,-136.58960000,190.0,16.5,,,Pleasure craft,,9,3
2024-05-24 16:24:23,368087710,WDK7774,,OCEAN ROGUE,,58.10451333,-136.59014667,184.8,17.0,,,Pleasure craft,,9,3
2024-05-24 16:24:53,368087710,WDK7774,,OCEAN ROGUE,,58.10242667,-136.59098667,193.9,15.3,,,Pleasure craft,,9,3
2024-05-24 16:25:24,368087710,WDK7774,,OCEAN ROGUE,,58.10032667,-136.59145333,180.9,15.0,,,Pleasure craft,,9,3
2024-05-24 16:25:54,368087710,WDK7774,,OCEAN ROGUE,,58.09831333,-136.59172000,184.0,13.4,,,Pleasure craft,,9,3
2024-05-24 16:26:23,368087710,WDK7774,,OCEAN ROGUE,,58.09635333,-136.59209333,183.8,17.2,,,Pleasure craft,,9,3
2024-05-24 16:26:53,368087710,WDK7774,,OCEAN ROGUE,,58.09403333,-136.59274667,187.4,16.4,,,Pleasure craft,,9,3
2024-05-24 16:27:26,368087710,WDK7774,,OCEAN ROGUE,,58.09197333,-136.59262667,170.7,14.2,,,Pleasure craft,,9,3
2024-05-24 16:27:54,368087710,WDK7774,,OCEAN ROGUE,,58.09005333,-136.59254667,190.0,14.0,,,Pleasure craft,,9,3
2024-05-24 16:28:24,368087710,WDK7774,,OCEAN ROGUE,,58.08820667,-136.59242667,178.1,13.9,,,Pleasure craft,,9,3
2024-05-24 16:28:54,368087710,WDK7774,,OCEAN ROGUE,,58.08613333,-136.59248000,178.1,16.7,,,Pleasure craft,,9,3
2024-05-24 16:29:54,368087710,WDK7774,,OCEAN ROGUE,,58.08132000,-136.59300000,185.8,16.5,,,Pleasure craft,,9,3
2024-05-24 16:30:23,368087710,WDK7774,,OCEAN ROGUE,,58.07908000,-136.59345333,189.3,17.4,,,Pleasure craft,,9,3
2024-05-24 16:30:54,368087710,WDK7774,,OCEAN ROGUE,,58.07636667,-136.59410667,184.1,19.3,,,Pleasure craft,,9,3
2024-05-24 16:31:25,368087710,WDK7774,,OCEAN ROGUE,,58.07384667,-136.59440000,186.1,18.8,,,Pleasure craft,,9,3
2024-05-24 16:31:54,368087710,WDK7774,,OCEAN ROGUE,,58.07153333,-136.59504000,186.9,17.9,,,Pleasure craft,,9,3
2024-05-24 16:32:53,368087710,WDK7774,,OCEAN ROGUE,,58.06678667,-136.59612000,184.6,17.2,,,Pleasure craft,,9,3
2024-05-24 16:33:25,368087710,WDK7774,,OCEAN ROGUE,,58.06422000,-136.59684000,186.5,18.2,,,Pleasure craft,,9,3
2024-05-24 16:33:54,368087710,WDK7774,,OCEAN ROGUE,,58.06192000,-136.59722667,181.9,16.4,,,Pleasure craft,,9,3
2024-05-24 16:34:54,368087710,WDK7774,,OCEAN ROGUE,,58.05726000,-136.59837333,191.4,17.6,,,Pleasure craft,,9,3
2024-05-24 16:35:24,368087710,WDK7774,,OCEAN ROGUE,,58.05457333,-136.59948000,186.8,18.0,,,Pleasure craft,,9,3
2024-05-24 16:36:24,368087710,WDK7774,,OCEAN ROGUE,,58.04985333,-136.60078667,182.5,18.3,,,Pleasure craft,,9,3
2024-05-24 16:36:54,368087710,WDK7774,,OCEAN ROGUE,,58.04735333,-136.60089333,184.2,17.2,,,Pleasure craft,,9,3
2024-05-24 16:37:24,368087710,WDK7774,,OCEAN ROGUE,,58.04492000,-136.60104000,184.7,20.9,,,Pleasure craft,,9,3
2024-05-24 16:37:55,368087710,WDK7774,,OCEAN ROGUE,,58.04225333,-136.60125333,183.4,17.9,,,Pleasure craft,,9,3
2024-05-24 16:38:25,368087710,WDK7774,,OCEAN ROGUE,,58.03950000,-136.60137333,177.8,15.9,,,Pleasure craft,,9,3
2024-05-24 16:38:55,368087710,WDK7774,,OCEAN ROGUE,,58.03720000,-136.60148000,177.8,17.5,,,Pleasure craft,,9,3
2024-05-24 16:39:25,368087710,WDK7774,,OCEAN ROGUE,,58.03480000,-136.60146667,178.0,18.0,,,Pleasure craft,,9,3
