ShipName,MMSI,Draught,Length,Width,VesselType,CPATime,CPADist,meanSOG,SLtot,TO_SL_25,TO_SL_31_5,TO_SL_40,TO_SL_50,TO_SL_63,TO_SL_80,TO_SL_100,TO_SL_125,TO_SL_160,TO_SL_200,TO_SL_250,TO_SL_315,TO_SL_400,TO_SL_500,TO_SL_630,TO_SL_800,TO_SL_1000,TO_SL_1250,TO_SL_1600,TO_SL_2000,TO_SL_2500,TO_SL_3150,TO_SL_4000,TO_SL_5000,TO_SL_6300,TO_SL_8000,TO_SL_10000
TANGLEWOOD,368220970,0,20,6,Private,5/19/2024 8:13,1066.53871,8.446942772,116.395924,99.22885582,95.81224955,94.85914674,93.71721689,93.95593297,94.76922625,95.71458251,96.18604572,98.11338401,99.73206803,100.8712511,102.5640162,104.8040284,106.4435627,107.1166491,107.2055546,106.8896978,105.9730169,104.6317798,102.8889011,100.6784431,98.7977744,98.69535982,97.85991112,96.39998948,95.57752522,94.69744587
ZAANDAM,246442000,8,238,33,Cruise,5/19/2024 7:41,1695.055573,16.33392878,131.7905335,119.6695264,123.9287041,119.8666985,117.8887671,119.086856,112.7529365,107.1089525,107.7350262,109.888854,111.875847,113.0028469,114.965258,117.5281211,118.9165982,119.9411302,120.0613917,119.7970049,119.0317262,118.9449787,117.2974552,115.1375986,113.5376797,113.2027377,111.6024968,111.6678352,113.422985,117.4153925
VIKING ORION,257034130,6.8,228,34,Cruise,5/20/2024 7:33,1078.039834,18.42458472,121.3024174,108.3724092,112.8974427,108.847155,116.8255891,111.9785497,111.7078078,105.4975967,100.2244588,98.53737925,99.23910854,100.7755103,102.0765818,102.5436461,102.170256,102.6009766,103.0645862,102.2993172,101.0239424,99.07816847,96.24555929,93.78712774,93.03090058,93.14647397,92.55691249,92.0332994,94.01336752,97.19158626
WILDERNESS DISCOVERE,367480140,2.5,52,11,Tour,5/20/2024 10:37,465.346075,9.530529595,114.0988086,106.7985047,104.7778887,102.4511893,100.6263964,99.47544489,101.5060305,98.00753861,97.24464959,97.85610338,97.16723957,97.61542524,98.58212244,99.36706749,100.4022338,100.9379194,101.1097797,100.6362,99.72445063,98.47771487,96.63069096,94.72492729,93.74673664,93.41102666,92.23343744,91.10664013,91.61001283,91.81945262
ROYAL PRINCESS,310661000,8.6,330,38,Cruise,5/23/2024 8:05,1045.21403,18.105721,125.6399003,115.4814263,124.3285706,110.2115447,110.6196976,108.3301247,104.6430111,101.9202492,99.16440512,99.84796635,99.8179008,101.5078402,102.0269686,102.1394014,99.44101804,96.90927676,97.68135669,95.81194659,96.08053378,96.34469604,96.13168555,96.70877739,98.86754704,100.3772324,100.9998204,102.0187151,104.9140175,108.8072361
BARANOF WIND,367365630,1,23,10,Tour,5/24/2024 9:11,595.266555,9.368216539,128.4996885,96.36548269,97.18824362,94.14592061,105.3822314,108.0953036,115.9685298,127.7310084,114.3440539,111.5651404,109.1929162,99.66323253,98.28728138,97.78793805,100.1647863,101.9986441,103.3073058,103.9384762,103.2578407,101.4013596,97.38831441,94.96432022,93.41919904,90.58865933,91.3450378,86.5715351,84.81970741,79.69539559
NIEUW AMSTERDAM,246648000,8.1,285,32,Cruise,5/24/2024 7:40,1053.804399,17.46473588,128.847184,117.0914511,124.1419449,124.0325843,120.4048598,115.2642807,104.5444912,102.6004595,101.5725451,101.3933444,102.6108938,104.0272317,104.0790369,105.1361729,107.0032785,108.0354887,108.0911067,107.5406888,107.2220767,107.4027932,103.8258772,101.9453389,101.0962935,99.19076542,99.50970974,96.18386593,93.8315399,90.64306091
WILDERNESS LEGACY,367578110,3,64,12,Tour,5/24/2024 3:02,447.9135745,10.08201893,120.7229408,96.69376592,94.86010661,94.5970993,98.42213718,106.2375207,119.601959,110.751658,102.5377549,97.45908557,95.84783842,96.01588499,96.28940681,97.48459241,98.45161359,99.10253522,98.95405011,98.54499482,97.71310608,96.53217559,94.77230412,92.63491517,90.54494977,90.10248977,88.45306441,84.96934411,83.86339247,82.4081688
BARANOF WIND,367365630,1,23,10,Tour,5/26/2024 9:08,689.0117762,20.72661996,133.4242361,106.8249121,104.6596395,101.5974083,107.4526112,109.6935596,120.4608846,132.8256404,118.403497,114.6336961,112.3540306,104.9686045,104.3271691,104.3508525,105.5979546,106.4393881,106.3129132,106.0190813,104.7866748,102.4471525,99.96256226,98.32267219,96.96939837,93.99941777,91.26433083,90.3561444,89.56944919,90.01940713
BARANOF WIND,367365630,1,23,10,Tour,5/29/2024 9:56,834.4226178,15.08420189,137.2385666,98.69952374,100.4726596,98.476693,108.9674664,113.5661061,115.3523285,132.4687991,119.524303,119.558885,116.374429,110.9272818,112.3800922,114.9323508,118.3518846,121.3077258,123.1138948,124.1628191,123.8545581,124.904229,124.2708839,123.3688429,122.8669217,123.1990859,122.7019939,123.0699736,124.2606376,126.1650824
BARANOF WIND,367365630,1,23,10,Tour,6/2/2024 9:52,543.5460277,21.62373887,134.3063817,101.6232975,100.5218015,98.01441712,109.5813014,109.008322,113.5653593,134.1029016,116.8448061,113.6215691,106.0696596,98.40470893,97.25304738,97.3941863,97.64853457,97.57837608,97.55793681,97.27897911,95.34602651,93.36287583,91.07133587,88.83169939,86.83731487,85.51642497,84.89325457,84.45457724,82.67284205,81.79093575
