bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
2025-01-07 04:58:04,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.40340333,-134.97689333,194.1,9.9,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 04:58:13,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.40301000,-134.97705000,190.5,9.9,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 04:58:21,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.40264667,-134.97716000,188.5,9.9,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 04:59:37,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.39916667,-134.97788000,186.5,10.0,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:04:37,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.38554333,-134.98068500,186.1,9.7,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:09:38,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.37225500,-134.98336667,186.8,9.5,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:14:47,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.35853167,-134.98671000,187.8,9.8,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:19:57,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.34470667,-134.99046833,188.4,9.7,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:22:28,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.33810167,-134.99218167,186.0,9.5,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:25:37,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.32969333,-134.99364167,184.0,9.7,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:30:37,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.31618667,-134.99511000,183.4,9.8,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:35:37,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.30236167,-134.99641167,182.6,10.1,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:40:37,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.28856500,-134.99784333,183.5,10.0,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:41:41,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.28556833,-134.99824000,185.7,10.0,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
2025-01-07 05:46:41,368018710,WDJ8677,9173501,ANNA T,Under way using engine,58.27196000,-135.00094000,185.9,9.8,SKAGWAY,2025-12-20 02:00:00,Tug,6,32,11
